Pot,Cur
-0.60709,-5.80452937
-0.60373,-5.519320594
-0.59887,-5.472611465
-0.59378,-5.334041047
-0.5888,-5.297947629
-0.58366,-5.279830149
-0.57897,-5.141401274
-0.57361,-5.106864827
-0.56859,-5.018683652
-0.56372,-4.948478415
-0.5587,-4.928096249
-0.55388,-4.812172682
-0.54881,-4.793205945
-0.54381,-4.771266808
-0.53882,-4.681245577
-0.53382,-4.659447983
-0.52863,-4.648832272
-0.52389,-4.505590941
-0.51887,-4.531493277
-0.51382,-4.483793347
-0.50884,-4.438641189
-0.503571,-4.394621373
-0.498826,-4.319462137
-0.493584,-4.331917905
-0.488635,-4.275300778
-0.483683,-4.231705591
-0.478507,-4.170417551
-0.473384,-4.167162067
-0.468545,-4.105449398
-0.463647,-4.072186837
-0.458609,-4.011181883
-0.45359,-3.979193206
-0.448524,-3.942816702
-0.443499,-3.95527247
-0.43844,-3.875300778
-0.433446,-3.875583864
-0.428438,-3.815003539
-0.423208,-3.784147205
-0.418411,-3.785279547
-0.4134618,-3.70601557
-0.4082857,-3.68039632
-0.4037074,-3.680962491
-0.3989937,-3.596319887
-0.393989,-3.568011323
-0.389056,-3.531493277
-0.384011,-3.500070771
-0.379001,-3.458740269
-0.37397,-3.398443029
-0.369359,-3.333899505
-0.36425,-3.301061571
-0.359075,-3.231564048
-0.354289,-3.18542109
-0.349064,-3.102760085
-0.344259,-3.036093418
-0.339208,-2.947062987
-0.334614,-2.813446568
-0.329447,-2.66935598
-0.32458,-2.518471338
-0.319664,-2.36532201
-0.314561,-2.146779901
-0.309615,-1.881104034
-0.30458,-1.602264685
-0.29967,-1.274097665
-0.29464,-0.82895966
-0.28953,-0.347813163
-0.28464,0.152484076
-0.27944,0.662845011
-0.27454,1.430714791
-0.26934,2.267799009
-0.26461,3.256617127
-0.25974,4.371408351
-0.25478,5.633970276
-0.24951,6.943382873
-0.24468,8.460014154
-0.23968,10.12682236
-0.23474,11.81344657
-0.22963,13.5143666
-0.22466,15.13375796
-0.21976,16.7586695
-0.21476,18.04670913
-0.20966,19.32200991
-0.2045,20.39348903
-0.19945,21.18188252
-0.19447,21.73248408
-0.18952,22.1104034
-0.18457,22.33970276
-0.17954,22.4373673
-0.17444,22.38641189
-0.16938,22.15994338
-0.16431,21.89667374
-0.15938,21.49044586
-0.15435,21.08138712
-0.14942,20.57183298
-0.14436,20.08775655
-0.13925,19.60226469
-0.13417,19.10261854
-0.12903,18.56192498
-0.12416,18.0651097
-0.11914,17.68294409
-0.11406,17.3064402
-0.10924,17.00070771
-0.10416,16.77423921
-0.09931,16.65534324
-0.09425,16.62278839
-0.08923,16.66949752
-0.08435,16.81528662
-0.07924,17.10828025
-0.07439,17.51592357
-0.06947,18.12455768
-0.06433,18.89596603
-0.05944,19.78627035
-0.05439,20.80679406
-0.04942,22.16985138
-0.04448,23.7891012
-0.0396,25.47062987
-0.0343,27.45506016
-0.02929,29.60368011
-0.02435,31.51875442
-0.01919,33.5980184
